_id,REPORT_YEAR,DIVISION,CATEGORY,SUBTYPE,COUNT_
22721,2015,D33,Controlled Drugs and Substances Act,Other,10
23214,2015,D51,Controlled Drugs and Substances Act,Other,231
23285,2015,D22,Controlled Drugs and Substances Act,Other,8
23461,2015,D33,Controlled Drugs and Substances Act,Other,37
23494,2015,D42,Controlled Drugs and Substances Act,Other,29
23543,2015,D41,Controlled Drugs and Substances Act,Other,10
23737,2015,D22,Controlled Drugs and Substances Act,Other,6
23833,2015,D55,Controlled Drugs and Substances Act,Other,41
24237,2015,D41,Controlled Drugs and Substances Act,Other,65
24306,2015,D12,Controlled Drugs and Substances Act,Other,56
24453,2015,D11,Controlled Drugs and Substances Act,Other,16
24619,2015,D55,Controlled Drugs and Substances Act,Other,13
24660,2015,D14,Controlled Drugs and Substances Act,Other,26
24786,2015,D53,Controlled Drugs and Substances Act,Other,2
25034,2015,D12,Controlled Drugs and Substances Act,Other,11
25102,2015,D55,Controlled Drugs and Substances Act,Other,28
25138,2015,D33,Controlled Drugs and Substances Act,Other,3
25330,2015,D11,Controlled Drugs and Substances Act,Other,2
25599,2015,D43,Controlled Drugs and Substances Act,Other,23
25614,2015,D51,Controlled Drugs and Substances Act,Other,73
25753,2015,D22,Controlled Drugs and Substances Act,Other,2
25948,2015,D53,Controlled Drugs and Substances Act,Other,5
26045,2015,D55,Controlled Drugs and Substances Act,Other,33
26048,2015,D22,Controlled Drugs and Substances Act,Other,1
26271,2015,D41,Controlled Drugs and Substances Act,Other,20
26278,2015,D55,Controlled Drugs and Substances Act,Other,15
26463,2015,D52,Controlled Drugs and Substances Act,Other,19
26715,2015,D31,Controlled Drugs and Substances Act,Other,21
27386,2015,D51,Controlled Drugs and Substances Act,Other,4
27665,2015,D55,Controlled Drugs and Substances Act,Other,13
27834,2015,D52,Controlled Drugs and Substances Act,Other,22
27917,2015,D11,Controlled Drugs and Substances Act,Other,1
27920,2015,D32,Controlled Drugs and Substances Act,Other,10
27969,2015,D53,Controlled Drugs and Substances Act,Other,9
28059,2015,D32,Controlled Drugs and Substances Act,Other,14
28179,2015,D13,Controlled Drugs and Substances Act,Other,13
28307,2015,D22,Controlled Drugs and Substances Act,Other,26
28460,2015,D42,Controlled Drugs and Substances Act,Other,29
28645,2015,D33,Controlled Drugs and Substances Act,Other,1
28746,2015,D42,Controlled Drugs and Substances Act,Other,6
28909,2015,D51,Controlled Drugs and Substances Act,Other,27
29002,2015,D55,Controlled Drugs and Substances Act,Other,23
29295,2015,D22,Controlled Drugs and Substances Act,Other,10
29326,2015,D43,Controlled Drugs and Substances Act,Other,2
29347,2015,D43,Controlled Drugs and Substances Act,Other,72
30143,2015,NSA,Controlled Drugs and Substances Act,Other,1
30164,2015,D53,Controlled Drugs and Substances Act,Other,1
30169,2015,D11,Controlled Drugs and Substances Act,Other,9
30321,2015,D32,Controlled Drugs and Substances Act,Other,8
30325,2015,D11,Controlled Drugs and Substances Act,Other,22
30438,2015,D55,Controlled Drugs and Substances Act,Other,49
30480,2015,D43,Controlled Drugs and Substances Act,Other,51
30606,2015,D53,Controlled Drugs and Substances Act,Other,3
30695,2015,D52,Controlled Drugs and Substances Act,Other,56
30782,2015,D12,Controlled Drugs and Substances Act,Other,72
30909,2015,D12,Controlled Drugs and Substances Act,Other,22
31273,2015,D13,Controlled Drugs and Substances Act,Other,3
31302,2015,D53,Controlled Drugs and Substances Act,Other,2
31331,2015,D31,Controlled Drugs and Substances Act,Other,25
31448,2015,D22,Controlled Drugs and Substances Act,Other,32
5372,2016,D41,Controlled Drugs and Substances Act,Other,63
5545,2016,D14,Controlled Drugs and Substances Act,Other,35
5723,2016,D41,Controlled Drugs and Substances Act,Other,56
5791,2016,D14,Controlled Drugs and Substances Act,Other,52
5951,2016,D23,Controlled Drugs and Substances Act,Other,10
6146,2016,D12,Controlled Drugs and Substances Act,Other,18
6492,2016,D13,Controlled Drugs and Substances Act,Other,9
6495,2016,D12,Controlled Drugs and Substances Act,Other,3
6597,2016,D22,Controlled Drugs and Substances Act,Other,6
6707,2016,D23,Controlled Drugs and Substances Act,Other,46
6952,2016,D33,Controlled Drugs and Substances Act,Other,2
7105,2016,D32,Controlled Drugs and Substances Act,Other,6
7309,2016,D14,Controlled Drugs and Substances Act,Other,9
7420,2016,D41,Controlled Drugs and Substances Act,Other,24
7432,2016,D55,Controlled Drugs and Substances Act,Other,19
7642,2016,D14,Controlled Drugs and Substances Act,Other,50
7698,2016,D53,Controlled Drugs and Substances Act,Other,4
7802,2016,D53,Controlled Drugs and Substances Act,Other,2
7833,2016,D55,Controlled Drugs and Substances Act,Other,16
7914,2016,D32,Controlled Drugs and Substances Act,Other,1
8130,2016,D32,Controlled Drugs and Substances Act,Other,8
8152,2016,D33,Controlled Drugs and Substances Act,Other,11
8178,2016,D23,Controlled Drugs and Substances Act,Other,1
8267,2016,D12,Controlled Drugs and Substances Act,Other,48
8548,2016,D55,Controlled Drugs and Substances Act,Other,4
8669,2016,D52,Controlled Drugs and Substances Act,Other,7
8888,2016,D12,Controlled Drugs and Substances Act,Other,5
9046,2016,D55,Controlled Drugs and Substances Act,Other,9
9338,2016,D41,Controlled Drugs and Substances Act,Other,10
9358,2016,D41,Controlled Drugs and Substances Act,Other,5
9424,2016,D22,Controlled Drugs and Substances Act,Other,19
9499,2016,D32,Controlled Drugs and Substances Act,Other,6
9558,2016,D32,Controlled Drugs and Substances Act,Other,1
9660,2016,D43,Controlled Drugs and Substances Act,Other,8
9705,2016,D32,Controlled Drugs and Substances Act,Other,6
9874,2016,D42,Controlled Drugs and Substances Act,Other,4
9878,2016,D32,Controlled Drugs and Substances Act,Other,1
9879,2016,D31,Controlled Drugs and Substances Act,Other,16
10042,2016,D33,Controlled Drugs and Substances Act,Other,7
10115,2016,D55,Controlled Drugs and Substances Act,Other,2
10168,2016,D55,Controlled Drugs and Substances Act,Other,5
10199,2016,D43,Controlled Drugs and Substances Act,Other,55
10405,2016,D31,Controlled Drugs and Substances Act,Other,8
10757,2016,D41,Controlled Drugs and Substances Act,Other,12
